,Countries,Total Cases,Todays Cases,Total Deaths
1,China,"80,928",+34,"3,245"
2,Italy,"35,713",,"2,978"
3,Iran,"18,407","+1,046","1,284"
4,Spain,"17,147","+2,378",767
5,Germany,"13,632","+1,305",33
6,USA,"9,477",+218,155
7,France,"9,134",,264
8,S. Korea,"8,565",+152,91
9,Switzerland,"3,438",+323,36
10,UK,"2,626",,108
11,Netherlands,"2,051",,58
12,Austria,"1,843",+197,5
13,Belgium,"1,795",+309,21
14,Norway,"1,704",+113,6
15,Sweden,"1,352",+51,10
16,Denmark,"1,132",+75,6
17,Japan,923,+9,32
18,Malaysia,900,+110,2
19,Portugal,785,+143,3
20,Canada,727,,9
21,Diamond Princess,712,,7
22,Australia,709,+113,6
23,Czechia,572,+50,
24,Brazil,532,+3,4
25,Israel,529,+96,
26,Qatar,452,,
27,Greece,418,,6
28,Finland,400,+41,
29,Pakistan,380,+73,2
30,Ireland,366,,2
31,Singapore,345,+32,
32,Luxembourg,335,+132,4
33,Iceland,330,+80,
34,Poland,325,+38,5
35,Indonesia,309,+82,25
36,Slovenia,286,,1
37,Romania,277,+17,
38,Thailand,272,+60,1
39,Bahrain,268,+12,1
40,Estonia,267,+9,
41,Saudi Arabia,238,,
42,Chile,238,,
43,Philippines,217,+15,17
44,Egypt,210,,6
45,Hong Kong,208,+15,4
46,Russia,199,+52,1
47,India,197,+28,4
48,Turkey,191,,2
49,Iraq,177,+13,12
50,Ecuador,168,,3
51,Peru,155,+10,
52,South Africa,150,+34,
53,Lebanon,149,+16,4
54,Kuwait,148,+6,
55,San Marino,140,,14
56,Armenia,122,+12,
57,Mexico,118,+25,1
58,UAE,113,,
59,Panama,109,,1
60,Taiwan,108,+8,1
61,Slovakia,105,,
62,Croatia,102,+13,1
63,Colombia,102,+9,
64,Argentina,97,,3
65,Serbia,97,+8,
66,Bulgaria,94,+2,3
67,Latvia,86,+15,
68,Algeria,82,+7,9
69,Uruguay,79,,
70,Vietnam,76,,
71,Hungary,73,+15,1
72,Brunei ,73,+5,
73,Faeroe Islands,72,+14,
74,Costa Rica,69,,1
75,Albania,64,+5,2
76,Sri Lanka,60,+9,
77,Morocco,58,+4,2
78,Cyprus,58,,
79,Jordan,56,,
80,Andorra,53,,
81,Malta,53,+5,
82,Belarus,51,,
83,Palestine,47,+3,
84,Bosnia and Herzegovina,45,+6,
85,Kazakhstan,44,+8,
86,North Macedonia,43,,
87,Georgia,40,+2,
88,Oman,39,,
89,Tunisia,39,+10,
90,Cambodia,37,,
91,Moldova,36,,1
92,Lithuania,36,+2,
93,Senegal,36,,
94,Venezuela,36,,
95,Dominican Republic,34,,2
96,Azerbaijan,34,,1
97,Burkina Faso,33,+6,1
98,Guadeloupe,33,,
99,New Zealand,28,+8,
100,Liechtenstein,28,,
101,Martinique,23,,1
102,Uzbekistan,23,+5,
103,Afghanistan,22,,
104,Bangladesh,18,+4,1
105,Macao,17,,
106,Ukraine,16,,2
107,Jamaica,15,,1
108,Bolivia,15,+3,
109,French Guiana,15,,
110,DRC,14,+7,
111,Réunion,14,,
112,Cameroon,13,,
113,Maldives,13,,
114,Nigeria,12,+4,
115,Guam,12,+4,
116,Honduras,12,+3,
117,Cuba,11,+1,1
118,Paraguay,11,,
119,Rwanda,11,,
120,Monaco,9,,
121,Ivory Coast,9,,
122,Ghana,9,+2,
123,Trinidad and Tobago,9,+2,
124,Guatemala,8,,1
125,Gibraltar,8,,
126,Montenegro,8,,
127,Channel Islands,7,,
128,Kenya,7,,
129,Ethiopia,6,,
130,French Polynesia,6,+1,
131,Mongolia,6,,
132,Puerto Rico,6,,
133,Seychelles,6,,
134,Tanzania,6,+3,
135,Guyana,5,+1,1
136,Aruba,4,,
137,Equatorial Guinea,4,,
138,Curaçao,3,,1
139,Bahamas,3,+2,
140,Gabon,3,,
141,Kyrgyzstan,3,,
142,Mauritius,3,,
143,Mayotte,3,,
144,St. Barth,3,,
145,Saint Martin,3,,
146,U.S. Virgin Islands,3,+1,
147,Sudan,2,,1
148,Barbados,2,,
149,Benin,2,,
150,Bermuda,2,,
151,Greenland,2,,
152,Liberia,2,,
153,Mauritania,2,,
154,Namibia,2,,
155,New Caledonia,2,,
156,Saint Lucia,2,,
157,Zambia,2,,
158,Cayman Islands,1,,1
159,Nepal,1,,
160,Antigua and Barbuda,1,,
161,Bhutan,1,,
162,CAR,1,,
163,Congo,1,,
164,Djibouti,1,,
165,El Salvador,1,+1,
166,Fiji,1,+1,
167,Gambia,1,,
168,Guinea,1,,
169,Vatican City,1,,
170,Montserrat,1,,
171,Nicaragua,1,+1,
172,St. Vincent Grenadines,1,,
173,Sint Maarten,1,,
174,Somalia,1,,
175,Suriname,1,,
176,Eswatini,1,,
177,Togo,1,,
